produto,quantidade_produzida_kgs,valor_venda_medio,receita_total,custo_kg
pimentão,75.29,20.94,1576.31,11.65
milho,96.1,14.84,1426.28,10.57
trigo,129.26,8.43,1089.44,6.95
morango,2.98,21.07,62.83,5.14
melancia,97.74,18.56,1814.1,9.07
pimentão,164.85,17.15,2826.62,16.18
batata,87.03,23.47,2042.45,15.07
melancia,7.33,6.32,46.31,3.11
cenoura,53.71,13.54,727.4,7.74
abobrinha,139.33,23.2,3232.93,4.44
soja,51.98,12.21,634.53,5.51
feijão,108.42,10.19,1104.49,5.05
milho,60.31,20.92,1261.7,5.75
batata,153.12,22.56,3454.96,10.63
pimentão,148.27,18.88,2799.77,4.96
melão,168.52,6.53,1100.5,2.57
melão,38.74,8.88,343.95,6.5
pimentão,5.12,11.69,59.85,3.14
batata,66.41,10.74,713.45,8.62
milho,71.24,22.79,1623.73,21.78
arroz,126.68,16.84,2133.5,12.24
feijão,73.57,14.92,1097.36,8.08
cenoura,127.35,19.12,2434.36,9.86
melancia,95.01,20.72,1968.28,18.68
abobrinha,139.55,19.91,2778.63,3.11
cenoura,132.77,13.88,1842.74,6.44
milho,97.34,15.99,1556.32,2.4
alface,141.88,21.41,3037.3,12.11
morango,136.8,5.15,704.62,4.44
cenoura,172.04,20.02,3444.73,6.82
trigo,138.55,12.33,1708.76,2.2
pimentão,173.71,14.18,2462.43,13.65
soja,44.15,24.89,1098.78,3.08
cenoura,162.86,11.12,1811.21,2.87
feijão,144.03,22.16,3191.73,7.34
tomate,192.84,11.41,2200.7,6.41
feijão,107.09,24.24,2595.31,8.0
melancia,13.75,5.72,78.71,4.4
morango,108.02,13.91,1502.88,13.19
tomate,86.27,20.13,1737.05,7.35
feijão,90.24,7.25,654.54,3.95
pimentão,55.05,13.73,755.74,6.71
milho,152.34,9.93,1512.83,6.0
abobrinha,183.86,20.84,3831.38,10.18
melão,35.72,16.61,593.46,8.85
melancia,9.72,13.61,132.28,4.08
milho,49.77,14.79,735.93,3.04
cenoura,62.09,20.92,1298.7,18.15
alface,68.91,13.33,918.56,7.98
milho,18.43,23.69,436.62,10.44
tomate,48.7,18.76,913.51,12.36
arroz,34.46,23.25,801.33,22.04
pimentão,83.99,21.03,1766.48,7.21
pimentão,45.91,16.87,774.37,5.64
trigo,131.64,19.1,2513.72,15.67
milho,113.02,5.31,600.2,3.04
abacaxi,98.65,8.49,837.22,3.26
cenoura,174.74,9.23,1613.42,6.97
pimentão,35.82,20.54,735.82,14.62
pimentão,92.25,10.49,967.43,9.11
milho,177.0,13.21,2337.95,7.27
abacaxi,150.7,8.01,1207.33,4.1
abobrinha,172.73,17.64,3046.62,12.51
trigo,66.45,20.57,1366.86,9.19
cenoura,27.78,16.26,451.59,9.14
feijão,139.09,14.77,2054.08,3.4
melão,130.46,10.82,1411.82,5.3
trigo,102.91,9.2,947.13,4.33
melão,173.35,16.0,2774.04,11.3
pimentão,77.04,14.44,1112.16,8.89
milho,87.2,13.48,1175.26,9.94
alface,138.83,20.87,2897.45,10.64
pimentão,6.08,5.99,36.38,2.83
trigo,109.04,18.8,2049.63,15.47
arroz,32.74,19.05,623.7,8.4
melão,181.9,13.64,2482.0,10.1
feijão,87.55,21.01,1839.01,7.89
batata,70.41,6.43,452.94,5.15
soja,68.87,19.3,1329.27,2.58
abobrinha,135.55,16.33,2213.4,14.74
soja,169.01,16.14,2728.08,6.51
cenoura,129.97,20.07,2608.01,2.34
arroz,21.67,13.71,297.2,8.16
melancia,31.47,19.59,616.3,18.93
melão,172.46,5.87,1013.06,3.93
alface,74.86,8.49,635.19,4.39
trigo,119.93,15.81,1896.55,11.21
batata,118.28,10.76,1273.04,6.81
melancia,189.88,16.94,3216.82,5.79
milho,56.45,22.59,1275.04,16.51
feijão,193.66,21.73,4208.32,6.06
arroz,8.31,13.88,115.35,12.05
milho,66.9,10.99,735.44,2.29
alface,109.72,23.47,2574.91,21.08
abacaxi,83.76,19.46,1630.44,3.02
arroz,59.67,21.36,1274.46,10.2
feijão,8.42,18.08,152.22,5.98
arroz,73.61,16.16,1189.54,4.66
cenoura,75.06,24.16,1813.18,4.83
alface,145.5,21.3,3099.65,18.53
abobrinha,73.95,22.12,1635.57,19.97
soja,105.4,11.65,1227.55,8.43
abacaxi,45.75,24.32,1112.84,4.37
cenoura,20.47,22.1,452.28,16.88
batata,137.21,19.08,2617.88,2.23
abobrinha,89.82,8.8,790.34,3.47
melão,89.21,12.41,1107.25,9.03
cenoura,14.92,9.95,148.41,6.89
soja,114.33,19.33,2209.81,13.17
tomate,149.5,22.68,3390.33,18.05
morango,189.23,7.75,1466.99,4.04
morango,30.66,17.25,528.94,16.47
milho,70.68,6.61,467.44,2.53
melancia,85.29,11.52,982.74,4.88
batata,8.21,11.13,91.43,3.65
morango,29.83,21.29,635.12,12.18
tomate,32.76,20.82,682.15,15.24
melão,188.42,21.4,4032.15,5.06
batata,22.46,22.01,494.39,6.97
melão,22.19,7.09,157.33,5.74
trigo,121.04,18.51,2240.33,15.67
batata,71.0,10.37,736.3,4.11
milho,38.85,23.13,898.69,12.88
abacaxi,127.75,22.97,2934.82,9.37
milho,5.65,14.53,82.19,3.15
melancia,16.42,23.45,385.03,7.92
abacaxi,92.5,16.22,1500.09,8.55
tomate,88.09,19.52,1719.91,12.35
melancia,2.28,18.09,41.15,11.59
trigo,195.68,20.05,3924.31,11.76
feijão,193.51,12.92,2500.43,12.25
abobrinha,112.69,19.57,2204.7,5.05
cenoura,61.01,21.72,1325.32,13.87
morango,70.2,17.05,1196.78,5.4
arroz,12.25,9.73,119.12,3.23
tomate,81.0,13.0,1053.05,4.14
soja,72.71,14.94,1086.27,5.88
arroz,106.27,6.32,671.98,4.51
alface,198.56,14.07,2794.19,7.18
feijão,62.83,5.36,336.92,2.66
alface,102.4,23.0,2354.98,7.59
trigo,94.01,10.11,950.5,9.45
pimentão,110.59,9.24,1022.32,5.75
batata,159.64,5.9,941.69,4.97
melão,25.28,24.66,623.51,20.46
feijão,120.34,20.56,2474.57,6.09
pimentão,11.41,13.74,156.75,12.51
alface,177.13,21.22,3759.17,13.9
alface,117.79,6.29,740.55,2.05
pimentão,128.06,7.5,961.01,6.14
batata,180.55,9.87,1781.81,6.62
morango,7.38,14.36,105.96,7.81
abobrinha,29.73,18.16,539.75,6.52
melancia,185.45,11.27,2090.16,3.73
feijão,59.66,14.84,885.68,13.67
alface,82.91,5.35,443.6,3.32
alface,191.3,11.8,2257.43,6.49
abobrinha,92.1,24.29,2236.78,9.69
pimentão,179.65,14.31,2571.15,8.4
cenoura,130.8,14.25,1864.12,7.15
melancia,146.3,9.17,1341.94,6.25
milho,189.26,16.82,3184.04,12.01
melancia,85.95,14.93,1283.3,7.37
melancia,4.25,24.85,105.54,16.55
cenoura,185.41,11.12,2062.14,3.44
cenoura,178.86,19.4,3470.63,5.89
tomate,19.49,8.89,173.31,3.62
morango,104.77,18.7,1959.44,3.81
arroz,41.03,23.2,951.84,19.48
melão,7.14,14.96,106.74,3.67
alface,155.81,5.15,802.66,4.38
feijão,29.0,18.55,537.83,16.24
feijão,14.7,15.49,227.74,13.1
melancia,123.83,14.99,1856.42,11.79
milho,81.14,20.39,1654.56,11.92
morango,59.69,16.84,1005.48,15.17
alface,113.12,13.62,1540.69,9.79
melancia,56.11,12.4,695.57,2.19
abacaxi,85.47,10.11,864.08,5.77
batata,69.31,24.64,1707.67,11.98
alface,65.63,14.82,972.55,4.21
abobrinha,165.41,21.34,3529.68,3.01
melancia,87.49,15.31,1339.59,2.85
batata,153.38,20.95,3213.8,12.82
alface,116.04,21.03,2440.61,4.72
cenoura,104.61,10.45,1092.98,4.92
melão,137.99,9.6,1324.75,3.51
cenoura,150.49,12.58,1892.7,3.03
tomate,135.98,15.6,2121.0,15.02
abacaxi,60.34,20.24,1221.16,8.83
trigo,136.42,6.64,905.3,3.45
soja,162.07,7.19,1165.65,5.62
pimentão,17.86,13.9,248.16,12.17
morango,89.91,10.97,985.98,4.56
abacaxi,133.91,22.82,3055.42,11.83
alface,195.57,6.45,1261.15,4.2
arroz,78.36,18.42,1443.23,17.88
pimentão,58.48,18.05,1055.34,11.47
arroz,166.24,8.4,1396.83,3.51
abacaxi,150.7,19.58,2950.07,5.02
feijão,148.39,13.42,1991.06,2.4
feijão,26.79,18.64,499.52,13.81
soja,92.62,22.02,2039.39,7.93
feijão,52.55,9.43,495.73,8.72
melancia,113.9,18.26,2080.01,14.67
milho,132.33,21.91,2898.89,17.08
melancia,181.66,8.67,1575.81,3.05
tomate,53.2,11.99,637.99,9.86
cenoura,196.31,16.53,3244.12,14.2
abacaxi,149.48,11.94,1784.11,9.62
pimentão,94.1,20.54,1932.68,4.12
pimentão,43.78,19.17,839.24,13.64
milho,30.22,7.43,224.46,4.59
tomate,127.26,19.86,2527.44,9.21
alface,27.04,15.39,416.11,13.89
tomate,50.14,7.2,360.9,4.75
milho,191.05,24.65,4708.84,5.58
morango,125.96,11.18,1407.85,9.81
feijão,167.73,19.72,3307.64,11.25
abacaxi,129.05,15.12,1951.05,7.03
melancia,165.91,8.78,1456.38,5.88
pimentão,73.0,21.42,1563.58,10.2
alface,66.45,7.46,495.82,4.88
abacaxi,92.5,7.51,694.29,4.2
tomate,144.95,14.39,2086.05,12.37
arroz,43.72,11.01,481.39,3.29
tomate,59.53,8.79,523.34,4.37
feijão,21.4,6.13,131.25,4.0
cenoura,27.65,9.3,257.04,3.38
melão,159.84,18.8,3004.62,11.71
melancia,137.99,17.47,2411.24,7.82
abacaxi,108.03,22.28,2406.53,17.02
alface,26.74,23.24,621.47,14.71
abacaxi,117.97,15.56,1835.37,7.3
trigo,115.46,10.48,1210.17,5.82
pimentão,99.67,24.07,2399.4,18.68
pimentão,37.88,21.92,830.27,4.07
melão,131.6,5.41,711.53,4.86
trigo,41.96,6.91,289.78,2.63
milho,15.84,5.48,86.79,2.02
abobrinha,161.88,20.77,3362.64,19.8
cenoura,77.5,10.76,833.8,2.63
batata,166.76,15.83,2639.37,8.86
abacaxi,99.17,9.18,909.92,5.18
batata,2.88,9.52,27.39,7.55
alface,166.59,14.56,2425.69,2.99
alface,8.23,14.83,122.0,10.94
morango,57.47,16.61,954.6,6.96
trigo,35.99,8.84,318.2,2.65
feijão,49.79,20.04,997.91,10.15
pimentão,162.06,19.78,3205.77,16.67
melancia,4.71,7.08,33.37,4.94
abobrinha,136.22,19.3,2629.04,8.78
soja,9.09,8.47,76.98,2.32
alface,199.03,13.55,2697.08,12.92
milho,171.56,13.65,2341.5,2.74
milho,147.68,14.16,2090.62,4.71
cenoura,145.25,11.98,1739.71,4.76
arroz,166.57,15.76,2625.11,5.12
milho,162.9,16.82,2739.99,3.26
melancia,8.75,15.21,133.05,5.61
soja,119.21,17.52,2088.15,13.47
melancia,70.43,15.18,1068.96,6.4
feijão,36.78,23.74,873.08,5.38
morango,84.7,21.66,1834.51,18.98
tomate,161.71,10.88,1759.81,6.27
milho,78.31,7.69,602.09,6.54
batata,119.87,24.62,2951.4,4.84
soja,163.94,14.15,2320.07,11.33
batata,93.13,12.27,1143.09,10.26
abacaxi,65.17,7.53,490.76,5.88
batata,152.51,24.31,3706.95,4.31
alface,140.14,7.22,1011.39,2.8
trigo,55.75,18.95,1056.28,9.62
batata,49.57,12.18,603.98,7.73
alface,99.3,14.4,1429.67,9.5
pimentão,171.51,6.86,1175.74,2.25
abobrinha,89.48,11.31,1012.19,5.23
morango,29.67,21.35,633.54,16.27
batata,92.27,17.25,1591.72,15.22
melancia,40.89,20.81,850.74,13.46
tomate,162.97,19.69,3208.18,13.56
feijão,185.44,24.34,4512.82,7.29
alface,178.19,22.15,3946.73,11.25
abobrinha,144.58,6.15,888.53,4.46
pimentão,81.48,18.62,1516.9,5.36
melancia,28.43,6.3,179.06,3.09
trigo,33.84,20.67,699.42,19.47
feijão,142.18,6.77,962.97,5.02
soja,72.67,11.98,870.35,10.02
abacaxi,148.36,23.86,3539.13,6.46
trigo,26.06,24.42,636.38,17.17
melão,97.22,19.42,1888.35,9.67
alface,145.54,15.3,2226.85,12.54
cenoura,143.51,16.48,2364.99,6.05
feijão,179.77,23.54,4231.04,22.49
pimentão,101.18,12.86,1301.21,5.12
milho,171.27,13.25,2268.64,2.66
morango,42.9,19.02,816.07,10.84
abacaxi,170.92,11.18,1911.71,9.46
batata,180.12,7.3,1315.31,2.96
feijão,98.08,12.45,1220.8,4.38
morango,170.13,19.55,3325.92,2.84
melancia,142.31,12.0,1707.39,4.25
alface,170.03,23.58,4009.29,13.23
melão,128.14,9.26,1186.79,6.68
trigo,159.41,7.01,1117.48,2.01
tomate,74.53,9.8,730.3,4.24
abacaxi,24.39,13.14,320.47,10.3
tomate,130.22,13.33,1736.27,12.02
soja,42.98,23.67,1017.05,11.35
abacaxi,135.69,14.49,1966.65,2.29
batata,172.13,16.2,2788.36,2.97
cenoura,178.46,18.67,3332.47,12.5
soja,6.33,24.81,157.09,7.54
trigo,144.92,18.43,2670.74,14.35
batata,79.78,19.64,1566.87,10.31
soja,27.27,13.72,374.15,3.04
abacaxi,50.63,19.55,989.91,11.59
cenoura,92.94,10.4,966.29,4.29
abacaxi,89.78,24.99,2244.07,10.55
morango,186.69,12.16,2270.41,5.1
soja,154.28,24.92,3844.97,16.67
pimentão,73.11,18.03,1317.95,7.77
feijão,67.07,22.74,1525.04,7.04
cenoura,67.36,15.73,1059.8,12.81
abobrinha,151.94,11.3,1716.49,9.91
alface,128.04,9.35,1196.88,6.78
melão,144.34,11.1,1602.89,5.25
trigo,11.03,19.87,219.18,15.89
alface,79.79,17.83,1422.64,11.14
milho,45.68,8.34,380.79,4.29
trigo,119.87,11.22,1345.09,5.08
cenoura,30.57,8.76,267.84,7.93
arroz,124.16,21.78,2704.36,6.71
arroz,106.06,19.18,2034.66,4.45
soja,5.02,14.51,72.8,10.18
batata,31.3,17.87,559.26,15.85
tomate,69.37,12.25,849.58,2.74
melancia,44.72,8.61,384.89,3.47
feijão,106.4,15.87,1688.43,12.97
arroz,136.6,18.55,2533.76,7.18
morango,196.12,5.1,999.95,3.76
pimentão,171.18,15.07,2579.42,3.63
arroz,64.54,24.15,1559.04,14.76
milho,69.29,22.36,1549.11,21.79
abobrinha,136.05,18.77,2553.76,7.14
trigo,138.51,10.43,1444.08,5.99
batata,72.76,16.36,1190.53,10.29
trigo,32.66,6.93,226.23,3.61
milho,24.35,22.0,535.61,11.3
morango,140.46,7.47,1049.26,2.49
batata,69.88,5.77,403.13,4.86
abacaxi,148.23,18.08,2679.4,13.77
batata,84.75,16.14,1367.82,6.62
batata,176.24,20.64,3637.34,15.33
melão,50.73,23.03,1168.21,10.88
soja,53.61,15.33,822.12,11.1
alface,41.66,18.62,775.64,17.48
soja,66.76,22.12,1476.86,12.51
alface,3.67,21.75,79.9,5.75
melancia,112.24,12.94,1451.92,10.52
batata,37.83,10.02,379.05,5.45
morango,135.7,21.78,2955.25,11.5
abacaxi,33.13,8.02,265.82,7.35
trigo,97.71,13.15,1285.34,11.74
tomate,150.44,10.41,1565.58,3.36
morango,127.16,6.65,846.14,3.03
batata,62.09,20.49,1272.24,16.02
melancia,156.42,24.18,3781.67,5.03
batata,191.22,22.64,4328.33,10.27
soja,122.46,13.58,1663.2,9.92
soja,10.31,11.42,117.81,5.45
melancia,150.0,19.81,2972.07,6.95
cenoura,34.01,14.38,489.15,7.47
abacaxi,13.59,6.01,81.66,4.72
tomate,68.15,10.59,721.89,8.4
trigo,94.8,14.22,1348.35,10.45
trigo,115.47,7.3,843.32,6.56
melancia,86.02,22.22,1911.24,7.14
cenoura,71.73,15.66,1123.37,7.15
arroz,36.24,13.02,471.77,4.98
feijão,33.49,10.38,347.66,4.07
morango,134.14,5.19,696.47,3.28
batata,153.26,21.81,3343.17,14.52
cenoura,82.86,15.83,1311.28,6.22
milho,70.53,8.38,591.11,4.9
milho,77.66,6.44,500.1,4.93
batata,104.2,12.18,1269.47,6.16
alface,47.74,10.4,496.4,4.99
trigo,160.32,8.51,1364.5,7.91
trigo,26.12,11.59,302.65,2.37
morango,172.99,20.68,3577.08,6.91
tomate,50.5,19.36,977.85,3.55
morango,142.53,7.04,1003.9,2.03
pimentão,79.81,11.7,934.0,10.7
arroz,77.85,6.71,522.42,3.91
melancia,123.06,19.86,2444.06,7.97
trigo,38.3,22.44,859.57,4.0
arroz,70.69,11.71,827.99,7.68
arroz,45.58,17.72,807.61,14.81
soja,192.54,7.82,1505.73,6.32
milho,139.94,19.79,2769.47,18.58
batata,29.78,13.03,387.84,11.9
feijão,167.73,8.31,1393.88,7.76
arroz,85.07,10.37,881.95,9.28
tomate,90.96,11.27,1025.18,8.28
trigo,127.98,8.05,1030.27,5.17
milho,156.34,18.01,2815.17,15.26
tomate,46.83,19.09,893.87,6.49
melão,69.16,20.43,1413.12,4.65
melão,126.38,5.48,692.62,2.11
cenoura,158.34,14.19,2246.38,5.68
pimentão,167.81,10.22,1714.14,6.3
alface,2.14,14.12,30.22,5.39
milho,2.58,13.21,34.07,8.85
melão,191.11,10.4,1988.36,4.85
arroz,131.49,17.94,2358.93,8.18
feijão,30.52,11.35,346.44,10.54
batata,189.68,5.22,990.66,4.21
cenoura,117.01,5.67,662.89,2.65
tomate,74.71,14.89,1112.61,3.65
arroz,129.07,14.82,1912.21,6.5
abacaxi,169.14,21.54,3643.8,9.41
batata,85.45,15.08,1288.66,10.17
pimentão,8.87,19.07,169.25,18.17
trigo,131.5,6.12,804.26,3.92
milho,9.47,6.65,63.01,5.61
morango,128.86,6.3,811.99,4.98
melancia,127.44,22.68,2890.51,20.83
batata,16.97,13.88,235.65,2.35
abacaxi,154.52,8.34,1289.17,5.24
melão,189.29,20.86,3948.41,7.27
cenoura,2.51,22.87,57.33,2.67
cenoura,165.66,7.14,1182.61,2.13
batata,175.53,16.79,2946.7,9.85
pimentão,181.66,11.4,2070.09,9.61
melancia,8.65,22.48,194.47,13.67
alface,68.2,21.75,1483.62,7.57
pimentão,147.48,19.46,2870.46,16.92
abacaxi,40.89,11.99,490.41,9.1
alface,35.84,22.42,803.49,5.68
feijão,97.78,10.15,992.61,6.92
soja,13.42,20.92,280.62,3.28
milho,170.32,17.45,2971.24,10.42
cenoura,142.31,15.61,2221.13,4.36
arroz,32.73,14.4,471.4,8.07
abobrinha,74.38,18.34,1364.42,15.35
abacaxi,184.39,14.7,2710.37,9.69
morango,131.65,22.93,3018.79,5.92
arroz,45.93,21.45,985.01,6.6
melancia,179.31,9.59,1719.92,6.48
batata,24.83,15.13,375.53,13.78
trigo,153.01,9.03,1381.64,5.76
melão,41.94,6.8,285.02,5.95
soja,85.22,12.22,1041.45,11.21
abobrinha,173.49,18.68,3241.01,6.78
melancia,131.71,11.04,1454.23,4.52
pimentão,160.17,12.44,1992.81,11.59
soja,14.44,19.63,283.6,11.45
abobrinha,166.75,15.16,2527.63,8.86
morango,170.35,17.0,2896.46,12.95
tomate,99.13,9.25,917.35,4.57
feijão,17.62,10.18,179.31,8.68
batata,65.87,16.61,1094.3,11.55
cenoura,173.49,10.79,1871.33,6.83
feijão,176.66,17.62,3112.27,6.5
feijão,155.01,10.82,1677.13,9.93
alface,134.85,8.46,1140.69,6.71
abobrinha,173.13,18.06,3126.77,2.25
batata,149.18,15.07,2248.65,9.04
soja,82.37,12.8,1054.66,7.8
melão,32.21,19.46,626.79,16.71
tomate,120.8,13.51,1632.01,6.15
morango,93.33,19.57,1826.75,10.01
batata,149.13,23.71,3535.63,14.23
melão,23.72,6.75,160.03,3.9
feijão,105.89,17.58,1861.17,16.94
soja,47.89,15.91,761.77,13.37
abacaxi,60.24,17.35,1045.04,4.19
soja,152.94,13.1,2004.01,2.73
melancia,36.16,24.85,898.56,12.43
feijão,21.23,16.76,355.85,9.93
soja,107.4,24.02,2580.24,10.86
morango,53.55,10.76,576.0,8.35
tomate,27.26,23.47,639.74,9.69
soja,32.4,14.84,480.68,3.51
soja,14.8,13.66,202.15,5.23
milho,147.38,5.47,806.8,3.55
morango,25.59,6.57,168.15,4.14
milho,20.66,21.85,451.41,2.49
cenoura,81.31,19.43,1579.65,5.5
cenoura,87.31,7.06,616.39,4.43
abacaxi,4.82,16.84,81.09,8.49
cenoura,158.16,10.66,1685.98,2.37
melancia,76.92,24.81,1908.27,13.32
abacaxi,141.45,16.68,2358.64,15.75
arroz,21.35,18.84,402.26,6.79
melancia,156.99,6.48,1017.94,5.54
trigo,68.58,12.78,876.12,3.39
trigo,68.32,12.61,861.27,6.16
melão,92.55,17.65,1633.58,6.79
tomate,127.86,16.34,2089.35,12.1
alface,33.25,7.27,241.7,6.71
feijão,165.2,24.82,4100.25,17.26
alface,42.97,14.56,625.5,12.28
soja,63.04,22.71,1431.7,8.27
batata,136.57,23.78,3247.18,15.16
soja,135.79,14.24,1934.13,12.94
melão,98.22,13.21,1297.51,11.28
abobrinha,111.97,5.68,635.8,3.02
abacaxi,169.12,6.63,1121.55,3.17
abobrinha,124.28,11.97,1487.59,10.58
tomate,139.44,9.21,1283.76,6.63
soja,80.47,22.05,1774.01,20.73
alface,50.34,14.31,720.56,3.92
arroz,111.89,23.18,2593.21,11.41
tomate,58.58,14.01,820.74,13.5
milho,19.31,24.28,468.74,16.0
morango,3.03,12.71,38.49,5.03
alface,169.12,13.11,2217.61,11.51
milho,150.96,6.45,973.23,2.35
batata,183.49,20.46,3754.64,15.18
abobrinha,156.61,6.66,1043.51,5.56
melancia,184.81,17.94,3315.8,11.54
alface,195.38,8.67,1693.67,7.18
cenoura,78.91,21.0,1657.48,14.64
tomate,95.04,8.24,783.22,6.3
morango,31.83,24.77,788.62,11.61
soja,19.48,14.69,286.1,11.29
arroz,150.07,17.27,2591.86,6.63
alface,53.16,24.88,1322.47,6.84
melancia,56.25,17.69,995.34,8.35
arroz,101.46,16.16,1639.8,5.91
feijão,178.97,7.73,1383.15,3.81
soja,97.98,18.92,1853.51,6.2
batata,32.32,5.49,177.47,2.65
cenoura,161.98,18.56,3007.1,11.42
abacaxi,64.51,24.22,1562.56,22.08
tomate,72.04,21.12,1521.33,14.73
feijão,143.71,20.55,2952.92,16.95
abacaxi,127.85,10.67,1363.91,9.92
morango,90.05,23.66,2130.49,5.3
soja,10.0,20.46,204.72,17.24
abobrinha,182.37,21.63,3944.69,5.35
batata,49.25,5.91,290.9,3.9
milho,22.05,11.62,256.2,7.48
abobrinha,67.06,20.32,1362.26,8.15
alface,72.82,23.26,1693.45,12.77
abacaxi,52.74,22.56,1189.74,16.34
abobrinha,171.83,15.02,2581.39,2.3
milho,39.12,13.41,524.73,12.43
tomate,153.26,6.15,942.45,4.58
melão,61.59,19.16,1179.78,8.62
cenoura,58.65,14.39,844.02,12.07
soja,63.37,17.18,1088.34,8.14
trigo,75.65,23.42,1771.67,2.96
tomate,10.57,18.67,197.33,3.11
cenoura,85.1,9.46,804.93,6.07
melancia,68.33,7.9,539.73,4.26
abacaxi,128.17,6.5,833.64,2.3
melão,54.25,5.35,290.08,3.83
tomate,186.63,11.59,2162.38,6.43
soja,110.71,18.36,2033.26,11.45
soja,155.64,20.32,3162.74,16.4
morango,141.69,23.06,3267.88,6.91
tomate,16.37,7.15,117.09,4.71
milho,67.96,10.68,725.71,8.0
melão,98.68,9.62,949.4,6.67
morango,148.02,6.35,939.42,2.42
cenoura,152.05,22.79,3465.6,3.21
melão,194.91,22.28,4341.85,10.07
trigo,121.91,21.12,2574.95,18.06
morango,140.55,15.32,2152.84,12.66
morango,169.1,21.53,3641.37,20.44
abacaxi,41.96,5.37,225.18,4.02
arroz,19.4,9.18,178.14,3.91
soja,168.18,7.04,1183.64,4.83
arroz,158.13,15.79,2496.92,8.15
soja,24.31,20.89,507.95,17.67
milho,5.47,6.92,37.83,2.27
abacaxi,46.77,17.23,806.08,6.9
feijão,10.88,24.85,270.35,21.74
soja,43.95,12.78,561.87,5.91
milho,42.0,12.8,537.62,4.39
trigo,193.19,13.5,2608.76,10.55
milho,144.98,14.58,2114.4,13.93
pimentão,3.93,15.54,61.02,7.85
batata,134.1,24.08,3229.09,21.92
cenoura,145.8,22.6,3294.95,13.84
abacaxi,123.72,19.16,2370.06,14.12
melancia,181.36,24.46,4436.74,21.28
abobrinha,130.13,21.66,2819.11,13.69
tomate,129.49,15.19,1967.34,10.67
milho,162.41,16.28,2643.26,12.74
milho,79.8,12.38,988.18,2.5
trigo,28.89,12.59,363.66,9.11
trigo,33.37,24.9,830.7,24.26
cenoura,67.62,15.73,1063.86,2.75
tomate,20.13,6.28,126.36,4.44
soja,183.21,6.13,1123.92,4.75
milho,179.59,17.26,3100.51,4.01
pimentão,84.67,8.98,759.99,3.12
morango,118.71,11.71,1390.23,5.56
pimentão,63.64,10.06,640.17,7.5
arroz,30.42,17.34,527.38,3.68
abacaxi,64.97,13.5,877.06,2.54
abacaxi,83.68,14.13,1182.79,10.26
arroz,176.69,5.7,1006.46,2.91
trigo,95.24,10.67,1016.41,8.34
soja,112.99,18.19,2055.69,12.74
melancia,198.81,17.66,3510.37,16.63
alface,161.91,10.23,1656.89,8.36
batata,106.86,8.38,896.0,4.35
pimentão,12.58,20.12,253.23,10.19
melão,146.81,6.94,1018.86,3.46
melão,5.8,16.31,94.58,14.79
cenoura,183.9,18.16,3339.76,12.96
feijão,9.18,17.83,163.69,15.95
milho,91.2,11.36,1035.8,6.55
batata,85.14,20.63,1756.6,11.15
abobrinha,4.76,15.55,74.09,5.05
alface,118.14,10.64,1256.69,9.06
melão,83.9,7.97,668.4,5.97
soja,116.28,16.02,1862.74,10.93
abobrinha,163.54,24.35,3982.51,5.23
soja,2.08,6.12,12.73,3.97
melão,173.3,15.32,2654.8,3.39
melão,7.01,5.56,39.0,4.26
trigo,32.79,13.73,450.02,11.29
soja,64.63,18.03,1165.47,16.1
morango,94.04,19.77,1859.54,10.52
batata,158.63,7.57,1201.47,4.88
arroz,41.58,10.97,456.07,7.38
milho,167.97,12.64,2122.46,6.39
trigo,82.86,21.37,1770.29,8.24
milho,54.67,12.6,688.96,5.71
batata,95.67,10.91,1043.42,2.26
melancia,80.93,14.83,1200.31,11.61
pimentão,53.38,16.26,868.11,4.25
feijão,8.84,5.93,52.47,2.53
tomate,163.7,19.99,3272.44,6.54
abacaxi,22.98,24.17,555.45,7.67
morango,76.49,25.0,1911.98,2.5
milho,90.2,19.11,1723.93,16.07
feijão,165.0,14.48,2390.0,2.94
abobrinha,128.94,14.39,1855.75,5.59
cenoura,172.42,20.42,3521.04,3.9
arroz,85.87,20.22,1736.19,5.82
abobrinha,48.4,11.15,539.64,7.54
abobrinha,98.18,5.52,542.35,4.64
arroz,112.13,9.51,1066.35,2.68
cenoura,44.7,22.5,1005.87,6.76
melão,102.6,16.95,1739.24,12.36
alface,60.82,10.59,644.09,6.95
alface,140.66,14.86,2089.69,10.81
batata,114.95,9.65,1108.85,6.99
pimentão,31.55,9.74,307.35,8.83
trigo,51.56,10.32,531.97,2.09
arroz,180.22,20.31,3659.71,2.99
milho,114.28,21.99,2513.47,9.99
feijão,62.69,10.83,679.12,6.39
melão,22.25,8.87,197.32,4.42
arroz,180.43,5.39,972.5,3.49
alface,176.43,20.24,3570.61,9.11
cenoura,110.06,5.4,593.78,4.27
abobrinha,47.36,12.39,586.57,6.1
batata,11.3,14.65,165.58,4.93
melão,124.64,6.03,751.95,5.09
melancia,118.23,14.56,1721.4,3.03
abobrinha,160.85,13.55,2178.85,12.92
pimentão,173.93,9.25,1608.84,3.9
alface,72.17,24.21,1746.91,22.08
abobrinha,44.59,12.25,546.24,7.01
abobrinha,52.46,21.35,1119.82,6.57
soja,9.98,16.28,162.41,12.85
pimentão,88.42,21.0,1856.58,19.99
milho,77.25,15.33,1184.66,13.96
pimentão,21.42,22.63,484.71,4.7
